,Ad Set Name,Age,Gender,Reach,Frequency,Amount Spent (USD),Impressions,"CPM (Cost per 1,000 Impressions) (USD)",Link Clicks,CPC (Cost per Link Click) (USD),CTR (Link Click-Through Rate),"Cost per 1,000 People Reached (USD)",Website Registrations Completed,Website Leads,Post Shares,Post Comments,Post Reactions,Cost per Website Registration Completed (USD),Cost per Website Lead (USD)
228,32,35-44,male,6928,1.010826,213.66,7003,30.509782,73.0,2.9268490000000003,1.04241,30.840069,3.0,10.0,7.0,0.0,13.0,71.22,21.366
229,32,35-44,female,1960,1.090306,88.69,2137,41.502106,15.0,5.912667,0.701919,45.25,0.0,3.0,2.0,2.0,10.0,,29.563333
230,32,25-34,male,13352,1.124401,393.55,15013,26.213948000000002,170.0,2.315,1.132352,29.474984999999997,3.0,25.0,4.0,5.0,13.0,131.183333,15.742
231,32,25-34,unknown,376,1.074468,10.7,404,26.485149,3.0,3.566667,0.742574,28.457447,0.0,1.0,0.0,0.0,1.0,,10.7
232,32,25-34,female,2816,1.022017,95.16,2878,33.064628000000006,35.0,2.718857,1.216122,33.792614,0.0,4.0,5.0,0.0,3.0,,23.79
233,33,25-34,female,3344,1.195275,136.26,3997,34.090568,57.0,2.390526,1.4260700000000002,40.747608,6.0,13.0,3.0,1.0,5.0,22.71,10.481538
234,33,25-34,male,26512,1.200136,857.84,31818,26.96084,640.0,1.340375,2.0114400000000003,32.356669000000004,17.0,158.0,7.0,8.0,16.0,50.461176,5.429367
235,33,25-34,unknown,624,1.003205,15.76,626,25.175719,7.0,2.251429,1.118211,25.25641,0.0,1.0,0.0,3.0,0.0,,15.76
236,33,35-44,female,2624,1.175686,119.0,3085,38.573744,34.0,3.5,1.102107,45.350609999999996,0.0,9.0,0.0,0.0,9.0,,13.222222
237,33,45-54,unknown,0,0.0,0.01,1,10.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
238,33,35-44,male,14784,1.1560469999999998,524.06,17091,30.662922,373.0,1.404987,2.182435,35.447781,6.0,79.0,1.0,8.0,23.0,87.343333,6.6336710000000005
239,33,35-44,unknown,240,1.404167,10.37,337,30.771513,4.0,2.5925,1.186944,43.208333,1.0,1.0,1.0,0.0,0.0,10.37,10.37
240,33,45-54,male,0,0.0,0.1,1,100.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,
241,34,35-44,unknown,30,1.466667,0.53,44,12.045455,0.0,,,17.666667,0.0,0.0,0.0,0.0,0.0,,
242,34,35-44,female,1244,1.0160770000000001,25.05,1264,19.818038,2.0,12.525,0.158228,20.136656,1.0,2.0,3.0,2.0,27.0,25.05,12.525
243,34,35-44,male,856,1.025701,11.81,878,13.451025,2.0,5.905,0.22779000000000002,13.796729000000001,0.0,0.0,3.0,1.0,10.0,,
244,34,25-34,unknown,147,1.0,2.33,147,15.85034,0.0,,,15.85034,0.0,0.0,1.0,0.0,1.0,,
